Date,Close/Last,Volume,Open,High,Low
6/21/2024,501.78,4347838,502.1,503.2157,500.85
6/20/2024,502.88,4810867,505.14,505.74,501.19
6/18/2024,504.28,3431665,503.05,504.3552,502.63
6/17/2024,502.94,4609539,498.48,504.18,497.91
6/14/2024,498.98,5812046,497.26,499.04,496.29
6/13/2024,498.58,8808879,499.3,499.45,496.06
6/12/2024,497.64,3698787,497.93,500.15,496.71
6/11/2024,493.53,4028423,490.99,493.66,489.109
6/10/2024,492.41,3465222,490.17,492.69,489.56
6/7/2024,490.8,3063587,490.55,493.53,489.54
6/6/2024,491.44,21343960,491.84,492.18,489.6401
6/5/2024,491.55,3026146,487.87,491.55,486.06
6/4/2024,485.74,2560269,484,486.41,482.56
6/3/2024,485.15,4211256,486.3,486.41,480.4
5/31/2024,484.62,5333971,481.24,484.91,476.475
5/30/2024,480.44,3393589,482.12,482.7504,479.2
5/29/2024,483.69,5604961,483.19,484.68,482.96
5/28/2024,487.12,4034716,487.4,487.645,484.525
5/24/2024,486.73,2555241,485.18,487.4,484.33
5/23/2024,483.44,3811307,489.91,489.99,482.29
5/22/2024,487.06,3250581,487.79,488.43,484.94
5/21/2024,488.48,2453576,486.53,488.58,486.35
5/20/2024,487.17,2599585,486.78,488.6099,486.45
5/17/2024,486.69,3274035,486.09,486.73,484.7
5/16/2024,485.97,3347381,487.05,488.57,485.83
5/15/2024,486.9,4399485,483.34,487.23,482.735
5/14/2024,481.04,3257724,478.98,481.47,478.48
5/13/2024,478.77,3108442,480.35,480.42,477.73
5/10/2024,478.74,3347159,479.69,480.39,477.59
5/9/2024,478.15,3486049,475.59,478.15,474.94
5/8/2024,475.42,3214878,473.59,475.86,473.5
5/7/2024,475.4,3451302,475.7,476.64,474.71
5/6/2024,474.72,4782542,472.22,474.81,471.82
5/3/2024,469.98,4586859,469.76,471,467.4401
5/2/2024,464.22,3972424,463.36,464.95,459.16
5/1/2024,459.93,6115377,460.77,467.07,459.44
4/30/2024,461.43,4364836,467.42,468.34,461.36
4/29/2024,468.84,3253205,468.84,469.42,466.21
4/26/2024,467.21,4907113,465.33,468.63,464.81
4/25/2024,462.58,4876228,458.77,463.46,457.26
4/24/2024,464.5,7687837,465.57,466.31,462.44
4/23/2024,464.84,4257400,461.18,465.13,460.67
4/22/2024,459.05,5818088,457.55,461.7299,455.35
4/19/2024,455.1,9787454,458.99,459.94,453.9
4/18/2024,458.94,5637286,461.36,463.3,458.21
4/17/2024,459.99,7156229,465.11,465.24,458.73
4/16/2024,462.78,6761419,464.05,465.51,461.59
4/15/2024,463.61,9530044,473.47,473.59,462.85
4/12/2024,469.57,6959723,472.77,474.05,467.91
4/11/2024,476.06,5109901,473.98,477.43,470.67
4/10/2024,472.65,6933388,471.91,474.39,470.67
4/9/2024,477.27,5254191,478.38,478.6,472.74
4/8/2024,476.68,4736778,477.15,478.07,475.97
4/5/2024,476.49,5588160,472.85,478.33,472.42
4/4/2024,471.48,6871190,481.2,481.48,471.27
4/3/2024,477.36,6224812,475.84,478.802,475.79
4/2/2024,476.93,4817822,476.33,476.99,474.71
4/1/2024,480.07,5733960,481.44,481.96,478.83
3/28/2024,480.7,4065018,480.87,482.1598,480.5034
3/27/2024,480.76,4951429,479.51,480.87,477.45
3/26/2024,476.6,8073502,479.06,479.37,476.43
3/25/2024,477.94,6081277,477.73,478.79,477.55
3/22/2024,479.18,5881503,479.87,480.32,478.82
3/21/2024,481.35,5044680,482.62,483.235,481.21
3/20/2024,479.75,6179356,475.54,480.02,474.93
3/19/2024,475.6,4550248,472.2,475.74,471.29
3/18/2024,472.95,3939105,473.95,475.279,472.5
3/15/2024,470.01,6807087,470.41,471.7814,468.7201
3/14/2024,473.27,5152980,475.16,475.325,470.45
3/13/2024,474.31,3544526,475.31,475.47,472.9
3/12/2024,475.03,4811036,471.92,475.55,469.57
3/11/2024,470,5323866,469.2,470.455,467.39
3/8/2024,470.39,6285625,473.77,476.2994,469.82
3/7/2024,473.26,7149802,471.63,474.19,470.78
3/6/2024,468.62,5325050,469.25,470.66,467.3199
3/5/2024,466.15,4616503,468.95,469.38,464.06
3/4/2024,470.87,3970242,470.61,472.6,470.6
3/1/2024,471.43,4839421,467.83,471.77,467.43
2/29/2024,466.93,7332921,466.97,468.49,464.47
2/28/2024,465.21,2800602,464.49,465.83,464.11
2/27/2024,465.93,3586943,465.71,466.12,463.91
2/26/2024,465.07,3450804,467.19,467.59,464.94
2/23/2024,466.78,4050621,468.09,468.87,466.0907
2/22/2024,466.57,4328536,463.22,467.33,462.315
2/21/2024,456.97,4223078,455.32,457.12,453.6
2/20/2024,456.51,5306784,457.44,458.06,454.43
2/16/2024,459.03,5527893,461.08,462.15,458.4
2/15/2024,461.39,5695711,458.9,461.54,458.43
2/14/2024,458.29,5624009,456.575,458.67,454.4
2/13/2024,453.97,8152242,454.48,455.7,450.995
2/12/2024,460.46,4564233,460.61,462.74,459.75
2/9/2024,460.67,4002594,458.54,461.03,458.17
2/8/2024,458.07,4184592,457.81,458.33,457.03
2/7/2024,457.76,6763415,456.15,458.18,455.27
2/6/2024,454.03,4383601,453.58,454.29,452.21
2/5/2024,452.62,7101857,453.73,454.15,450.54
2/2/2024,454.28,6253482,450.01,455.88,449.69
2/1/2024,449.66,6138360,445.35,449.66,444.6502
1/31/2024,443.82,7108043,449.04,449.465,443.75
1/30/2024,451.17,3409953,450.84,451.81,450.44
1/29/2024,451.49,4543252,448.23,451.6098,447.7112
1/26/2024,448.23,6404023,448.1,449.51,447.16
1/25/2024,448.5,4167055,448.14,448.76,446.11
1/24/2024,445.99,4568204,448.32,449.1896,445.75
1/23/2024,445.62,3251586,444.83,445.82,443.78
1/22/2024,444.3,5870412,444.77,445.92,443.68
1/19/2024,443.29,4836802,439,443.61,438.31
1/18/2024,437.93,4331285,435.58,438.39,434.16
1/17/2024,434.07,6044611,433.6,434.48,431.81
1/16/2024,436.5,5730839,436.79,437.98,434.74
1/12/2024,437.99,5182669,439.11,439.8,436.73
1/11/2024,437.79,4796587,438.94,439.355,434
1/10/2024,437.94,4278841,435.77,438.735,435.48
1/9/2024,435.07,7939567,433.62,436.43,433.1633
1/8/2024,436.13,7222362,430.45,436.27,430.37
1/5/2024,429.98,5724608,429.59,432.3,428.64
1/4/2024,429.43,3945259,430.33,432.78,429.21
1/3/2024,430.79,4805049,432.32,433,430.25
1/2/2024,434.01,9076041,433.91,435.27,432.36
12/29/2023,436.8,4376885,437.87,438.34,434.94
12/28/2023,437.97,4703655,438.25,438.84,437.66
12/27/2023,437.9,4271009,436.895,438.02,436.42
12/26/2023,437.1,3835837,435.666,437.92,435.58
12/22/2023,435.29,4037829,435.46,436.838,433.48
12/21/2023,434.28,4621606,433.13,434.64,430.8552
12/20/2023,430.09,5783234,435.51,437.305,429.9
12/19/2023,438.19,4061508,436.04,438.22,435.95
12/18/2023,435.54,4280475,434.64,436.4,434.45
12/15/2023,433.09,5326041,433.19,434.25,432.24
12/14/2023,433.75,8349143,434.22,435.3642,431.24
12/13/2023,432.48,8659116,426.88,432.61,426.51
12/12/2023,426.67,5982557,424.22,426.67,423.2739
12/11/2023,424.56,5247086,422.41,424.71,422.22
12/8/2023,422.92,5125278,420.37,423.37,420.15
12/7/2023,421.13,3248251,419.81,421.67,419.28
12/6/2023,417.86,4201801,421.61,421.67,417.46
12/5/2023,419.61,3419283,418.34,420.47,418
12/4/2023,419.74,5806079,418.65,419.87,417.5
12/1/2023,421.86,4973625,418.83,422.37,418.25
11/30/2023,419.4,4405690,418.54,419.7,416.57
11/29/2023,417.78,4092618,420.059,421.12,417.365
11/28/2023,418.05,3382442,417.25,419.25,416.71
11/27/2023,417.64,3632552,417.79,418.5273,417.23
11/24/2023,418.37,1351272,418.19,418.49,417.84
11/22/2023,418.14,3694064,418.07,419.31,417.06
11/21/2023,416.34,5248187,416.4,416.84,415.3
11/20/2023,417.43,3524412,413.99,418.2,413.9799
11/17/2023,414.31,4700139,413.94,414.79,412.87
11/16/2023,413.7,3798889,412.74,413.95,411.75
11/15/2023,413.12,4414807,413.54,414.72,412.37
11/14/2023,412.22,6973115,410.04,413.51,409.8856
11/13/2023,404.45,2872941,403.59,405.49,402.82
11/10/2023,404.86,3994439,400.59,405.109,399.14
11/9/2023,398.64,4145615,402.81,402.88,398.21
11/8/2023,401.67,3731858,401.99,402.5026,399.56
11/7/2023,401.34,3358578,400.26,402.04,399.23
11/6/2023,400.21,4007105,400.12,400.733,398.46
11/3/2023,399.44,5981435,397.92,400.85,397.84
11/2/2023,395.78,4752164,391.93,395.9096,391.92
11/1/2023,388.4,5549159,385.09,389.08,384.62
10/31/2023,384.17,4523160,382.35,384.48,380.56
10/30/2023,381.86,5795761,379.91,382.8,378.71
10/27/2023,377.32,5638752,380.53,380.89,375.945
10/26/2023,379,6959401,382.63,383.3971,378.15
10/25/2023,383.71,5471214,387.6,387.68,383.12
10/24/2023,389.2,4451513,388.28,390.26,386.55
10/23/2023,386.31,5537131,385.48,389.94,383.85
10/20/2023,386.99,7549614,391.38,391.82,386.84
10/19/2023,391.87,6708903,395.97,397.6,391.135
10/18/2023,395.22,7329261,398.89,399.81,394.22
10/17/2023,400.58,4214609,397.63,402.5,397.3075
10/16/2023,400.57,5150941,398.57,401.6,398.34
10/13/2023,396.42,3772219,399.81,400.96,394.96
10/12/2023,398.52,3872929,401.48,401.8,396.2
10/11/2023,400.93,4181784,400.27,401.09,397.99
10/10/2023,399.24,3289640,397.77,401.68,397.3875
10/9/2023,397.19,2959502,392.8,397.69,392.31
10/6/2023,394.56,4897219,387.69,396.085,386.4104
10/5/2023,389.91,3329091,389.89,390.7889,386.95
10/4/2023,390.24,4333740,387.73,390.85,386.4
10/3/2023,387.39,6886663,390.58,391.93,386.03
10/2/2023,392.67,5886153,391.9,393.7599,389.97
9/29/2023,392.7,5766585,396.62,396.74,391.3
9/28/2023,393.64,4065775,390.87,395.27,390.33
9/27/2023,392.85,4837698,393.84,394.39,389.45
9/26/2023,392.76,5734734,395.72,396.36,391.96
9/25/2023,398.61,3227900,395.76,398.6392,395.37
9/22/2023,396.96,7206528,398.795,400.326,396.555
9/21/2023,397.92,4633139,401.8,402.05,397.69
9/20/2023,404.55,4009415,409.46,409.84,404.33
9/19/2023,408.37,3629773,408.22,408.805,405.71
9/18/2023,409.19,3014571,408.58,410.34,408.16
9/15/2023,408.74,4004030,412.34,412.67,408.48
